id,rfm_r,rfm_f,rfm_m
1378,28260,1,6990.0
1379,33085,13,727340.0
1382,44917,1,15990.0
1383,47485,1,8590.0
1385,29076,1,14990.0
1386,33757,3,142410.0
1389,32293,2,53960.0
1390,32941,5,68390.0
1392,27084,2,39960.0
1395,34045,1,5990.0
1397,7900,3,36186.0
1398,34597,2,33960.0
1399,27108,47,1606238.0
1401,24084,7,113010.0
1402,27444,1,22990.0
1403,32989,1,29490.0
1404,27540,2,45960.0
1406,31453,3,80950.0
1407,32341,1,19990.0
1408,27252,3,67574.0
1411,1380,17,43569.2
1412,28236,13,293649.0
1413,26556,3,33980.1
1414,33829,3,58671.0
1415,29484,6,238112.0
1416,26940,1,1192.0
1417,33037,1,15990.0
1418,20413,5,43430.0
1419,13956,15,390330.0
1420,18084,21,323945.0
1421,34261,6,323640.0
1423,27204,6,78078.0
1424,25164,7,289620.0
1425,33565,1,2490.0
1426,32629,3,65750.0
1428,27924,2,53980.0
1429,31645,6,602977.0
1430,30733,2,85960.0
1434,27756,3,1401.0
1435,30685,7,53438.0
1436,28716,1,31995.0
1440,11412,86,3138855.0
1441,16284,9,107210.0
1444,28356,4,33700.5
1445,14964,25,638108.26
1447,31501,3,71910.0
1449,30589,8,275180.0
1451,24156,8,107322.0
1452,30421,6,558240.0
1454,29988,1,6990.0
1455,32437,1,27951.0
1456,32365,1,4990.0
1459,27420,1,4990.0
1460,6324,12,39613.0
1464,27372,7,2015513.0
1468,32293,2,39960.0
1471,29148,2,39960.0
1472,10764,25,384412.0
1474,28044,1,7490.0
1475,28164,1,2340.0
1476,10788,39,1506184.0
1477,29004,13,347193.6
1478,32821,1,14990.0
1482,8844,5,116670.0
1483,26964,1,19990.0
1486,27132,2,9960.0
1487,32749,4,87400.0
1488,31621,3,78950.0
1490,32341,2,65560.0
1492,32341,1,599.0
1493,28500,1,3990.0
1494,6636,17,411278.0
1496,20100,4,466650.6
1498,34549,12,228166.7
1499,32509,1,15990.0
1500,1631,18,714153.6
1501,28596,1,13290.5
1502,33661,3,80952.0
1503,35053,3,98910.0
1504,27132,3,57150.0
1505,32965,2,8380.0
1506,30253,1,18990.0
1507,29892,2,11960.0
1510,26988,1,12990.0
1511,27012,1,17990.0
1512,30853,1,2990.0
1513,26988,2,56560.0
1514,588,8,82364.6
1515,30517,1,16990.0
1517,30901,4,45676.0
1522,27276,1,3890.0
1524,31909,4,101840.0
1527,31717,3,16764.0
1528,29868,5,61661.0
1530,41629,1,49990.0
1531,30781,2,15560.0
1532,31261,4,68100.0
1533,36613,1,1290.0
1534,28260,8,120385.0
1536,33541,1,17890.0
1537,31333,5,16978.0
1538,28380,1,39990.0
1539,25260,4,73960.1
1540,19260,2,34990.5
1541,29964,3,131616.0
1542,46669,2,156.0
1543,31981,1,7417.5
1544,16284,9,383620.88
1545,32893,1,13490.0
1546,33517,1,9990.0
1547,32797,1,13990.0
1548,32821,5,16080.0
1549,30805,4,40140.0
1554,33397,1,19990.0
1555,38557,2,30360.0
1556,27996,2,24980.0
1557,20004,23,592746.0
1558,25404,6,265451.0
